10:46:43:457;eph;epv;fix_type;satellites;gps_status;ekf;latitude;longitude;altitude;north;east;down;pitch;yaw;roll;Vx;Vy;Vz;groundspeed;voltage;current;power;last_heartbeat;armed;mode;armable;system_status
10:47:49:569;eph;epv;fix_type;satellites;gps_status;ekf;latitude;longitude;altitude;north;east;down;pitch;yaw;roll;Vx;Vy;Vz;groundspeed;voltage;current;power;last_heartbeat;armed;mode;armable;system_status
10:47:49:569;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2961447536945343;-0.14127038419246674;-0.11665695905685425;-0.056935496628284454;0.25649309158325195;-0.050647322088479996;0.29;-0.15;0.02;0.33196648955345154;12.587;0.0;100;0.7105919290333986;1;1;0;4
10:47:49:670;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2961447536945343;-0.14127038419246674;-0.11665695905685425;-0.05669451132416725;0.25612974166870117;-0.05043641850352287;0.29;-0.15;0.02;0.33196648955345154;12.587;0.0;100;0.8525266830110922;1;1;0;4
10:47:49:771;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2925322949886322;-0.13959389925003052;-0.11687199026346207;-0.05669451132416725;0.25612974166870117;-0.05043641850352287;0.27;-0.14;0.02;0.3147243559360504;12.587;0.0;100;0.9154316399944946;1;1;0;4
10:47:49:872;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2925322949886322;-0.13959389925003052;-0.11687199026346207;-0.05669451132416725;0.25612974166870117;-0.05043641850352287;0.27;-0.14;0.02;0.3147243559360504;12.587;0.0;100;0.0687162090325728;1;1;0;4
10:47:49:972;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2908669114112854;-0.13889925181865692;-0.11734841763973236;-0.05648181214928627;0.25579947233200073;-0.05024740472435951;0.28;-0.14;0.02;0.31620892882347107;12.587;0.0;100;0.13172909402055666;1;1;0;4
10:47:50:073;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2908669114112854;-0.13889925181865692;-0.11734841763973236;-0.05648181214928627;0.25579947233200073;-0.05024740472435951;0.28;-0.14;0.02;0.31620892882347107;12.587;0.0;100;0.2321768859983422;1;1;0;4
10:47:50:174;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2908669114112854;-0.13889925181865692;-0.11734841763973236;-0.05626065656542778;0.2554381787776947;-0.050042685121297836;0.29;-0.15;0.02;0.31620892882347107;12.587;0.0;100;0.37906226998893544;1;1;0;4
10:47:50:274;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2923921048641205;-0.1398405283689499;-0.11761060357093811;-0.05626065656542778;0.2554381787776947;-0.050042685121297836;0.29;-0.15;0.02;0.3272998631000519;12.587;0.0;100;0.4410588500322774;1;1;0;4
10:47:50:375;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2923921048641205;-0.1398405283689499;-0.11761060357093811;-0.05626065656542778;0.2554381787776947;-0.050042685121297836;0.29;-0.15;0.02;0.3272998631000519;12.587;0.0;100;0.5417314189835452;1;1;0;4
10:47:50:476;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.28999173641204834;-0.13875120878219604;-0.11823557317256927;-0.05604022741317749;0.2551127076148987;-0.0498553141951561;0.28;-0.14;0.02;0.3158913552761078;12.587;0.0;100;0.6788077490055002;1;1;0;4
10:47:50:577;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.28999173641204834;-0.13875120878219604;-0.11823557317256927;-0.05604022741317749;0.2551127076148987;-0.0498553141951561;0.28;-0.14;0.02;0.3158913552761078;12.587;0.0;100;0.7793035570066422;1;1;0;4
10:47:50:679;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28999173641204834;-0.13875120878219604;-0.11823557317256927;-0.05579748749732971;0.25475260615348816;-0.04964514449238777;0.27;-0.14;0.02;0.3094395697116852;12.587;0.0;100;0.883973848016467;1;1;0;4
10:47:50:779;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28775420784950256;-0.13772882521152496;-0.11849930137395859;-0.05579748749732971;0.25475260615348816;-0.04964514449238777;0.27;-0.14;0.02;0.3094395697116852;12.587;0.0;100;0.944167296984233;1;1;0;4
10:47:50:880;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28775420784950256;-0.13772882521152496;-0.11849930137395859;-0.05579748749732971;0.25475260615348816;-0.04964514449238777;0.27;-0.14;0.02;0.3094395697116852;12.587;0.0;100;0.05020053900079802;1;1;0;4
10:47:50:981;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.2873672544956207;-0.13762317597866058;-0.11817701905965805;-0.05557582527399063;0.254425585269928;-0.04945603758096695;0.27;-0.14;0.02;0.3113817572593689;12.587;0.0;100;0.17878781899344176;1;1;0;4
10:47:51:082;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.2873672544956207;-0.13762317597866058;-0.11817701905965805;-0.05557582527399063;0.254425585269928;-0.04945603758096695;0.27;-0.14;0.02;0.3113817572593689;12.587;0.0;100;0.2792670489870943;1;1;0;4
10:47:51:182;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.2873672544956207;-0.13762317597866058;-0.11817701905965805;-0.055343907326459885;0.2540656328201294;-0.04925614967942238;0.28;-0.14;0.02;0.3229005038738251;12.587;0.0;100;0.3889493659953587;1;1;0;4
10:47:51:283;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.28962573409080505;-0.13892024755477905;-0.11800839751958847;-0.055343907326459885;0.2540656328201294;-0.04925614967942238;0.28;-0.14;0.02;0.3229005038738251;12.587;0.0;100;0.44559824001044035;1;1;0;4
10:47:51:384;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.28962573409080505;-0.13892024755477905;-0.11800839751958847;-0.055343907326459885;0.2540656328201294;-0.04925614967942238;0.28;-0.14;0.02;0.3229005038738251;12.587;0.0;100;0.5463997590122744;1;1;0;4
10:47:51:485;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.289783239364624;-0.1391528844833374;-0.11785095185041428;-0.05513107776641846;0.253738135099411;-0.04906449094414711;0.28;-0.14;0.02;0.3211009204387665;12.587;0.0;100;0.690696748031769;1;1;0;4
10:47:51:585;121;200;6;10;6,10;1;-35.3632595;149.1652359;583.8;0.289783239364624;-0.1391528844833374;-0.11785095185041428;-0.05513107776641846;0.253738135099411;-0.04906449094414711;0.28;-0.14;0.02;0.3211009204387665;12.587;0.0;100;0.7822361810249276;1;1;0;4
10:47:51:686;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.289783239364624;-0.1391528844833374;-0.11785095185041428;-0.05487633869051933;0.2533841133117676;-0.04884390905499458;0.27;-0.14;0.02;0.3087376356124878;12.587;0.0;100;0.8926928020082414;1;1;0;4
10:47:51:787;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.2881214916706085;-0.13844378292560577;-0.11797977983951569;-0.05487633869051933;0.2533841133117676;-0.04884390905499458;0.27;-0.14;0.02;0.3087376356124878;12.587;0.0;100;0.979800247005187;1;1;0;4
10:47:51:888;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.2881214916706085;-0.13844378292560577;-0.11797977983951569;-0.05487633869051933;0.2533841133117676;-0.04884390905499458;0.27;-0.14;0.02;0.3087376356124878;12.587;0.0;100;0.050317902001552284;1;1;0;4
10:47:51:988;121;200;6;10;6,10;1;-35.3632596;149.1652359;583.8;0.28489044308662415;-0.13690467178821564;-0.11802542209625244;-0.05464233085513115;0.2530595064163208;-0.04864197224378586;0.26;-0.14;0.02;0.3042382299900055;12.587;0.0;100;0.14885837701149285;1;1;0;4
